date,code,min,max,x,y,cm
2002-01-01,ANTHUAN,3.5,6.0,106.57214728017047,9.997516000287387,0.0
2002-01-01,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-01,SONDOC,0.1,0.3,106.52634634862564,10.02521742703001,30.48
2002-01-01,BENTRAI,0.2,1.0,106.53714631788698,9.87584489783824,0.0
2002-01-01,BINHDAI,0.5,2.0,106.69680698921823,10.206350985375803,152.4
2002-01-02,ANTHUAN,3.0,5.5,106.57214728017047,9.997516000287387,0.0
2002-01-02,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-02,BINHDAI,1.0,3.0,106.69680698921823,10.206350985375803,152.4
2002-01-02,BENTRAI,0.1,1.0,106.53714631788698,9.87584489783824,0.0
2002-01-02,SONDOC,0.1,0.4,106.52634634862564,10.02521742703001,30.48
2002-01-03,BINHDAI,1.1,3.5,106.69680698921823,10.206350985375803,152.4
2002-01-03,SONDOC,0.2,0.4,106.52634634862564,10.02521742703001,30.48
2002-01-03,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-03,BENTRAI,0.1,0.8,106.53714631788698,9.87584489783824,0.0
2002-01-03,ANTHUAN,3.1,5.2,106.57214728017047,9.997516000287387,0.0
2002-01-04,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-04,ANTHUAN,3.0,5.0,106.57214728017047,9.997516000287387,0.0
2002-01-04,BINHDAI,1.2,4.0,106.69680698921823,10.206350985375803,152.4
2002-01-04,SONDOC,0.2,0.5,106.52634634862564,10.02521742703001,30.48
2002-01-04,BENTRAI,0.1,0.5,106.53714631788698,9.87584489783824,0.0
2002-01-05,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-05,SONDOC,0.1,0.6,106.52634634862564,10.02521742703001,30.48
2002-01-05,BINHDAI,1.3,4.1,106.69680698921823,10.206350985375803,152.4
2002-01-05,BENTRAI,0.1,0.6,106.53714631788698,9.87584489783824,0.0
2002-01-05,ANTHUAN,3.1,6.0,106.57214728017047,9.997516000287387,0.0
2002-01-06,ANTHUAN,3.2,6.5,106.57214728017047,9.997516000287387,0.0
2002-01-06,SONDOC,0.1,0.8,106.52634634862564,10.02521742703001,30.48
2002-01-06,BINHDAI,1.1,3.5,106.69680698921823,10.206350985375803,152.4
2002-01-06,BENTRAI,0.2,0.8,106.53714631788698,9.87584489783824,0.0
2002-01-06,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-07,BINHDAI,1.0,3.0,106.69680698921823,10.206350985375803,152.4
2002-01-07,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-07,BENTRAI,0.3,0.5,106.53714631788698,9.87584489783824,0.0
2002-01-07,SONDOC,0.2,0.8,106.52634634862564,10.02521742703001,30.48
2002-01-07,ANTHUAN,3.3,6.4,106.57214728017047,9.997516000287387,0.0
2002-01-08,SONDOC,0.2,0.6,106.52634634862564,10.02521742703001,30.48
2002-01-08,BENTRAI,0.2,0.6,106.53714631788698,9.87584489783824,0.0
2002-01-08,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-08,BINHDAI,0.9,2.5,106.69680698921823,10.206350985375803,152.4
2002-01-08,ANTHUAN,3.0,6.4,106.57214728017047,9.997516000287387,0.0
2002-01-09,BINHDAI,1.0,2.0,106.69680698921823,10.206350985375803,152.4
2002-01-09,BENTRAI,0.2,1.0,106.53714631788698,9.87584489783824,0.0
2002-01-09,ANTHUAN,4.0,7.0,106.57214728017047,9.997516000287387,0.0
2002-01-09,SONDOC,0.1,0.4,106.52634634862564,10.02521742703001,30.48
2002-01-09,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-10,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-10,SONDOC,0.3,0.5,106.52634634862564,10.02521742703001,30.48
2002-01-10,BINHDAI,0.8,2.5,106.69680698921823,10.206350985375803,152.4
2002-01-10,BENTRAI,0.2,1.2,106.53714631788698,9.87584489783824,0.0
2002-01-10,ANTHUAN,3.8,7.1,106.57214728017047,9.997516000287387,0.0
2002-01-11,BENTRAI,0.3,1.3,106.53714631788698,9.87584489783824,0.0
2002-01-11,BINHDAI,0.9,2.8,106.69680698921823,10.206350985375803,152.4
2002-01-11,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-11,ANTHUAN,3.2,7.4,106.57214728017047,9.997516000287387,0.0
2002-01-11,SONDOC,0.2,0.7,106.52634634862564,10.02521742703001,30.48
2002-01-12,BINHDAI,1.2,3.0,106.69680698921823,10.206350985375803,152.4
2002-01-12,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-12,BENTRAI,0.1,0.8,106.53714631788698,9.87584489783824,0.0
2002-01-12,ANTHUAN,4.5,6.5,106.57214728017047,9.997516000287387,0.0
2002-01-12,SONDOC,0.2,0.7,106.52634634862564,10.02521742703001,30.48
2002-01-13,ANTHUAN,4.0,6.4,106.57214728017047,9.997516000287387,0.0
2002-01-13,SONDOC,0.2,0.5,106.52634634862564,10.02521742703001,30.48
2002-01-13,BINHDAI,1.0,3.2,106.69680698921823,10.206350985375803,152.4
2002-01-13,LOCTHUAN,0.0,0.0,106.59742686501805,10.240297530187904,274.32
2002-01-13,BENTRAI,0.1,0.4,106.53714631788698,9.87584489783824,0.0
