code,date,min,max
SONDOC,2018-05-13,3.2,7.3
SONDOC,2018-05-14,2.9,6.3
SONDOC,2018-05-15,4.0,7.0
SONDOC,2018-05-16,3.7,7.5
SONDOC,2018-05-17,3.1,5.7
SONDOC,2018-05-18,2.5,3.9
SONDOC,2018-05-19,1.2,2.3
SONDOC,2018-05-20,0.8,1.7
SONDOC,2018-05-21,0.5,1.2
SONDOC,2018-05-22,0.5,1.0
SONDOC,2018-05-23,0.3,0.9
SONDOC,2018-05-24,0.2,0.9
SONDOC,2018-05-25,0.4,0.9
SONDOC,2018-05-26,0.2,0.7
SONDOC,2018-05-27,0.3,0.5
SONDOC,2018-05-28,0.2,0.4
SONDOC,2018-05-29,0.2,0.4
SONDOC,2018-05-30,0.2,0.4
SONDOC,2018-05-31,0.2,0.3
