code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
ANTHUAN,2003-01-01,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-01,,4.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-01,,5.3,16.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-01,,14.3,21.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-01,,17.2,21.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-01,,6.1,12.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-02,,4.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-02,,3.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-02,,4.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-02,,13.2,20.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-02,,16.1,21.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-02,,5.5,12.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-03,,5.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-03,,6.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-03,,5.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-03,,15.3,19.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-03,,15.9,21.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-03,,5.6,12.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-04,,4.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-04,,5.3,18.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-04,,6.5,17.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-04,,13.8,20.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-04,,15.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-04,,5.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-05,,3.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-05,,5.4,17.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-05,,6.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-05,,13.0,19.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-05,,14.1,19.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-05,,4.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-06,,4.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-06,,6.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-06,,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-06,,12.9,20.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-06,,13.1,20.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-06,,5.2,15.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-01-07,,4.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-02-07,,6.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-03-07,,5.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-04-07,,14.8,20.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-05-07,,12.5,20.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2003-06-07,,4.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,
