code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BINHDAI,2010-01-12,,2.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-12,,2.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-12,,7.0,18.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-12,,5.2,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-12,,8.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-12,,5.2,19.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-13,,3.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-13,,4.7,17.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-13,,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-13,,5.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-13,,8.8,20.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-13,,5.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-14,,3.1,6.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-14,,5.6,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-14,,7.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-14,,8.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-14,,10.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-14,,5.6,19.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-15,,2.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-15,,5.3,20.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-15,,8.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-15,,9.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-15,,11.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-15,,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-16,,2.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-16,,5.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-16,,9.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-16,,13.5,23.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-16,,11.5,23.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-16,,5.1,18.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-17,,3.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-17,,5.5,20.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-17,,10.5,22.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-17,,12.6,24.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-17,,10.8,23.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-17,,5.2,18.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-18,,3.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-18,,4.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-18,,11.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-18,,13.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-18,,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-18,,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-19,,2.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-19,,5.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-19,,13.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-19,,12.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-19,,7.8,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-19,,5.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-20,,2.7,9.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-20,,6.5,18.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-20,,16.1,25.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-20,,12.8,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-20,,7.5,17.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-20,,5.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-21,,2.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-21,,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-21,,12.8,24.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-21,,12.3,22.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-21,,7.6,17.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-21,,5.1,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-22,,2.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-22,,8.0,19.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-22,,9.5,20.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-22,,11.8,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-22,,7.5,17.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-22,,6.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-23,,2.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-23,,6.1,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-23,,9.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-23,,9.3,19.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-23,,7.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-23,,5.7,14.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-24,,3.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-24,,5.8,19.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-24,,9.3,20.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-24,,9.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-24,,7.3,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-24,,5.3,13.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-25,,2.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-25,,5.5,17.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-25,,8.1,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-25,,10.1,21.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-25,,7.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-25,,5.4,13.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-26,,2.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,
