code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BENTRAI,2011-01-01,,1.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-01,,9.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-01,,9.3,21.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-01,,6.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-01,,7.4,18.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-02,,1.9,6.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-02,,7.9,21.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-02,,9.1,21.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-02,,6.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-02,,7.3,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-03,,2.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-03,,8.3,22.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-03,,9.5,21.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-03,,6.3,18.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-03,,7.2,18.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-04,,1.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-04,,2.8,16.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-04,,8.8,19.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-04,,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-04,,7.4,18.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-05,,1.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-05,,2.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-05,,10.2,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-05,,11.1,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-05,,7.5,18.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-06,,1.6,8.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-06,,2.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-06,,10.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-06,,11.8,21.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-06,,6.3,18.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-07,,1.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-07,,2.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-07,,10.3,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-07,,10.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-07,,4.1,16.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-08,,1.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-08,,2.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-08,,10.1,22.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-08,,11.0,22.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-08,,5.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-01-09,,1.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-02-09,,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-03-09,,12.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-04-09,,9.2,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2011-05-09,,4.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,
