code,date,time,min,max
TIENTHUY,2017-04-02,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-03,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-04,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-05,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-06,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-07,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-08,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-09,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-10,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-11,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-12,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-13,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-14,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-15,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-16,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-17,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-18,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-19,18:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-20,18:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-21,18:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-22,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-23,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-24,18:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-04-25,17:00:00|5:00:00,0.0,0.0
TIENTHUY,2017-04-26,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-27,17:00:00|6:00:00,0.0,0.0
TIENTHUY,2017-04-28,17:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-29,18:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-04-30,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-01,17:00:00|7:00:00,0.0,0.0
TIENTHUY,2017-05-02,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-03,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-04,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-05,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-06,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-07,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-08,17:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-05-09,18:00:00|6:00:00,0.0,0.0
