code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
ANTHUAN,2016-03-24,18.6,24.5,20.3,22.2,23.1,22.5,20.2,18.6,19.3,23.3,24.5,21.3,20.3,19.7
ANTHUAN,2016-03-26,14.9,28.6,20.5,14.9,28.1,26.7,25.2,23.0,21.8,24.6,28.6,26.9,24.4,22.5
ANTHUAN,2016-03-27,22.3,29.7,22.3,24.8,28.8,29.3,26.4,25.8,24.4,25.7,29.7,29.0,26.7,25.4
ANTHUAN,2016-03-28,24.4,30.4,24.4,25.6,29.6,30.3,29.7,28.5,28.9,29.3,30.4,30.0,28.2,26.4
ANTHUAN,2016-04-01,19.7,28.4,20.7,19.7,21.3,24.8,27.8,28.4,28.2,27.8,27.5,28.1,27.8,24.8
ANTHUAN,2016-04-02,18.7,27.6,22.5,20.1,18.7,21.1,23.9,27.0,27.6,27.4,25.8,25.9,26.0,26.2
ANTHUAN,2016-04-03,17.2,27.3,23.7,20.1,17.2,17.6,26.2,24.9,27.3,27.0,24.3,23.9,23.6,25.6
ANTHUAN,2016-04-06,19.4,26.1,24.9,24.7,21.9,20.5,19.4,19.6,23.8,26.1,24.3,23.1,20.8,21.3
ANTHUAN,2016-04-07,19.0,26.0,23.7,25.0,23.4,22.0,20.2,19.0,21.6,26.0,25.1,23.1,20.8,19.6
ANTHUAN,2016-04-08,19.3,26.0,22.2,25.5,25.1,23.5,21.2,19.3,21.0,24.6,26.0,23.3,21.0,20.0
ANTHUAN,2016-04-09,20.8,26.3,22.1,24.9,26.2,22.9,22.1,21.1,20.9,24.3,26.3,24.0,21.9,20.8
ANTHUAN,2016-04-15,12.4,20.4,14.7,12.9,12.4,14.7,17.1,19.9,20.4,19.0,18.1,17.2,16.8,17.2
ANTHUAN,2016-04-16,11.6,20.0,16.0,13.8,11.9,11.6,14.9,18.5,20.0,18.8,16.8,15.9,16.4,17.5
ANTHUAN,2016-04-17,11.2,20.1,15.8,14.3,13.4,11.2,15.6,17.8,20.1,19.3,17.7,16.9,15.4,16.5
ANTHUAN,2016-04-23,14.0,21.5,18.2,20.2,21.5,17.6,15.6,15.0,16.9,19.7,21.5,18.0,14.9,14.0
ANTHUAN,2016-04-24,13.7,21.6,16.5,19.1,21.3,19.5,16.6,14.6,16.2,19.7,21.6,17.9,15.4,13.7
ANTHUAN,2016-04-25,14.2,21.2,15.8,19.6,21.2,19.5,16.9,15.3,15.8,18.6,21.0,17.9,15.2,14.2
ANTHUAN,2016-04-28,10.4,17.7,11.7,10.4,13.0,17.1,17.7,15.8,13.6,15.4,16.3,17.5,16.0,13.2
ANTHUAN,2016-04-29,9.6,18.0,10.6,9.6,11.8,15.6,18.0,17.4,15.4,14.6,15.4,16.0,13.3,12.2
ANTHUAN,2016-04-30,9.1,18.5,10.5,9.1,10.2,14.1,17.3,18.5,15.2,16.1,15.8,15.3,15.6,14.8
ANTHUAN,2016-05-06,13.0,22.0,20.2,20.9,16.5,15.2,14.2,15.0,19.1,22.0,19.5,15.3,13.0,13.2
ANTHUAN,2016-05-07,11.9,22.6,18.3,21.8,20.9,18.3,15.1,14.2,19.0,22.6,20.7,17.1,13.4,11.9
ANTHUAN,2016-05-08,13.2,21.8,14.3,19.7,21.8,18.4,16.5,14.9,17.6,20.6,21.5,18.0,15.3,13.2
ANTHUAN,2016-05-09,12.0,23.2,12.0,16.6,20.3,21.6,17.7,14.8,16.3,20.5,23.2,17.3,16.0,13.8
ANTHUAN,2016-05-14,8.3,19.5,9.5,8.3,9.8,13.5,17.4,19.5,19.3,17.2,15.9,16.4,15.3,13.0
ANTHUAN,2016-05-15,9.6,19.8,11.2,9.6,10.5,12.4,15.5,18.4,19.8,16.6,14.2,12.6,14.6,16.2
ANTHUAN,2016-05-16,7.8,20.0,13.7,9.8,7.8,10.6,14.3,18.2,20.0,16.8,14.0,12.6,13.2,15.9
ANTHUAN,2016-05-20,8.0,18.7,16.2,18.2,16.9,13.0,12.1,14.6,18.1,18.7,14.3,10.6,8.0,12.2
ANTHUAN,2016-05-21,8.5,18.4,16.2,18.2,16.3,13.5,10.8,12.0,16.3,18.4,15.2,10.8,9.1,8.5
