code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
SONDOC,2015-02-02,2.7,9.4,8.7,9.4,8.6,5.7,2.7,3.4,4.8,7.3,8.6,8.8,6.5,4.9
SONDOC,2015-02-03,2.8,9.9,6.9,9.9,8.9,4.3,4.2,2.8,3.2,5.6,8.5,8.8,7.1,5.3
SONDOC,2015-02-04,3.4,10.2,6.3,9.1,10.2,8.5,5.9,3.6,3.4,5.3,8.9,9.9,7.4,5.6
SONDOC,2015-02-07,4.3,10.9,4.7,6.9,10.9,10.9,9.3,6.1,4.3,4.7,7.9,10.9,9.6,6.4
SONDOC,2015-02-08,4.2,10.8,5.8,4.6,9.5,10.3,8.9,6.1,4.2,4.4,8.5,9.9,10.8,9.8
SONDOC,2015-02-09,4.9,12.7,5.9,4.9,8.3,10.4,10.3,8.1,5.5,5.4,8.5,11.3,12.7,10.9
SONDOC,2015-02-11,4.1,10.6,9.9,4.8,6.4,5.7,6.4,5.3,5.2,4.1,5.1,8.6,10.6,9.7
SONDOC,2015-02-12,4.1,10.5,7.9,5.7,4.9,4.1,6.7,7.3,6.6,5.9,5.7,8.2,10.5,6.8
SONDOC,2015-02-13,5.3,11.2,8.8,6.6,5.4,5.3,7.5,9.7,8.9,9.1,7.9,8.8,10.4,11.2
SONDOC,2015-02-18,3.9,11.5,9.7,11.5,10.9,8.1,4.6,3.9,5.7,8.5,11.3,10.4,8.1,6.2
SONDOC,2015-02-19,4.4,13.4,7.5,12.6,13.4,10.3,6.2,4.4,4.9,5.7,10.9,11.1,8.3,6.4
SONDOC,2015-02-20,4.2,14.1,6.9,10.2,14.1,12.1,7.9,5.4,4.2,6.4,9.6,11.5,9.0,5.3
SONDOC,2015-02-22,3.9,12.1,4.9,6.2,10.0,12.1,10.3,5.6,4.4,3.9,8.8,10.0,11.2,6.7
SONDOC,2015-02-23,4.2,10.7,4.2,5.3,7.8,10.2,10.2,7.2,5.2,4.9,6.9,9.8,10.7,8.4
SONDOC,2015-02-24,3.9,10.1,5.3,4.0,5.3,7.2,9.4,7.1,5.5,3.9,5.3,8.1,10.1,8.9
SONDOC,2015-02-28,2.0,6.4,4.7,4.4,2.7,2.0,2.1,4.0,5.5,6.4,6.3,5.5,4.6,5.2
SONDOC,2015-03-04,3.3,9.1,3.4,4.4,5.0,4.5,3.6,9.1,3.6,5.0,7.7,6.8,4.9,3.3
SONDOC,2015-03-05,2.1,7.6,3.0,6.3,7.6,6.1,4.6,2.1,2.2,4.8,7.3,6.8,4.8,4.0
SONDOC,2015-03-06,2.7,8.0,3.4,5.7,8.0,7.6,4.4,2.7,2.8,5.1,7.7,7.1,5.7,4.0
SONDOC,2015-03-08,3.1,10.0,3.7,3.9,9.8,10.0,6.6,4.3,3.1,4.4,8.8,9.9,6.6,4.3
SONDOC,2015-03-09,3.5,9.7,3.9,6.6,9.3,9.5,7.9,5.4,3.5,4.6,8.3,9.7,8.1,5.6
SONDOC,2015-03-10,3.9,11.1,3.9,4.7,6.9,9.9,9.5,6.3,4.9,5.8,8.4,9.1,11.0,11.1
SONDOC,2015-03-14,0.1,7.6,0.1,3.9,2.8,6.6,6.2,7.6,7.4,5.9,5.5,5.9,6.2,6.1
SONDOC,2015-03-15,2.7,8.0,3.8,5.4,2.8,2.7,5.3,6.2,7.4,8.0,7.7,6.7,6.4,5.5
SONDOC,2015-03-16,2.3,9.1,4.4,3.6,5.6,2.7,2.3,6.8,8.2,9.1,8.6,7.9,5.8,5.7
SONDOC,2015-03-20,3.6,11.7,5.5,9.6,10.3,9.9,4.9,3.6,5.4,6.3,11.7,10.1,9.4,5.3
SONDOC,2015-03-21,5.2,12.4,5.2,12.0,12.4,10.7,7.4,5.4,5.2,8.4,10.5,11.9,9.8,8.1
SONDOC,2015-03-22,5.5,13.4,6.1,8.3,12.0,13.4,10.1,6.3,5.5,8.6,12.6,12.9,10.5,7.3
