code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
BENTRAI,2016-01-02,2.2,7.9,6.3,5.3,4.2,3.4,3.6,5.4,5.3,3.3,2.2,2.7,7.9,7.7
BENTRAI,2016-01-03,2.6,5.9,5.7,4.4,3.7,3.0,2.6,3.0,3.5,3.4,3.2,2.7,3.8,5.9
BENTRAI,2016-01-04,3.2,5.8,5.8,5.3,4.7,4.1,3.8,3.8,3.7,3.7,3.3,3.2,3.5,3.9
BENTRAI,2016-01-09,12.4,21.6,20.1,21.4,16.4,13.5,13.6,12.4,14.3,18.2,21.6,19.6,17.3,15.8
BENTRAI,2016-01-10,10.6,20.8,18.8,20.8,16.3,15.1,12.4,10.6,11.2,15.1,20.8,20.6,16.2,14.0
BENTRAI,2016-01-11,9.8,20.0,12.6,16.5,15.6,13.5,12.3,10.5,9.8,13.8,17.9,20.0,18.5,15.1
BENTRAI,2016-01-12,9.2,21.4,11.9,19.0,20.1,15.5,13.3,11.4,9.2,11.3,18.8,21.4,19.0,15.0
BENTRAI,2016-01-18,3.9,14.1,12.8,10.7,7.8,5.1,6.1,5.3,5.1,4.4,3.9,5.7,12.0,14.1
BENTRAI,2016-01-19,4.4,16.1,11.7,9.0,7.8,5.0,4.4,9.1,14.0,12.1,9.4,7.4,9.6,16.1
BENTRAI,2016-01-20,4.8,16.8,16.3,13.0,8.2,6.4,4.8,8.2,12.4,14.6,13.4,11.8,14.5,16.8
BENTRAI,2016-01-23,5.5,20.2,13.1,16.1,12.7,9.1,8.0,5.5,8.6,16.0,19.1,20.2,16.2,14.0
BENTRAI,2016-01-24,7.2,25.4,16.9,25.0,21.8,14.6,10.1,7.2,8.6,13.9,24.2,25.4,18.6,15.5
BENTRAI,2016-01-25,6.6,24.8,15.0,18.8,17.3,15.2,9.9,8.1,6.6,13.4,22.7,24.8,22.3,18.4
BENTRAI,2016-01-28,9.7,22.2,14.5,15.2,16.1,15.5,13.8,12.5,9.7,11.6,17.5,22.2,20.1,15.0
BENTRAI,2016-01-29,8.2,22.8,9.3,9.8,12.2,13.4,12.2,10.7,8.9,8.2,15.1,20.6,22.8,16.4
