code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
ANTHUAN,2015-02-02,10.2,25.2,25.2,25.0,18.0,15.0,10.2,10.7,14.9,22.0,23.3,20.0,17.5,19.5
ANTHUAN,2015-02-03,9.4,24.4,23.6,24.4,20.5,15.8,14.2,9.4,12.7,17.1,23.5,19.8,18.2,18.0
ANTHUAN,2015-02-04,10.0,26.2,23.1,26.2,21.8,18.3,15.7,10.0,13.8,18.5,22.9,20.3,19.1,17.8
ANTHUAN,2015-02-07,11.8,24.8,18.0,23.4,24.8,20.5,19.0,17.0,11.8,17.7,22.3,23.0,19.8,17.3
ANTHUAN,2015-02-08,12.5,25.9,17.7,19.9,24.3,23.3,19.2,16.5,12.5,15.7,23.3,25.9,23.2,18.7
ANTHUAN,2015-02-09,13.8,28.6,16.0,22.8,26.7,27.5,21.5,17.5,13.8,17.5,24.5,28.6,25.8,21.8
ANTHUAN,2015-02-11,14.4,23.5,15.9,15.0,18.7,20.7,20.9,17.1,14.4,15.4,18.9,23.1,23.5,18.5
ANTHUAN,2015-02-12,12.5,26.7,14.0,12.5,14.8,17.1,20.0,18.5,17.5,16.2,19.4,24.1,26.7,22.7
ANTHUAN,2015-02-13,13.6,25.6,18.1,14.5,13.6,15.7,21.6,22.3,21.6,19.7,21.1,22.8,25.6,24.8
ANTHUAN,2015-02-18,11.4,22.9,22.9,22.8,19.2,15.9,13.4,11.4,15.5,20.1,22.8,18.1,18.5,20.0
ANTHUAN,2015-02-19,12.2,24.5,23.0,24.5,20.3,18.1,14.8,12.2,13.9,22.9,23.5,17.4,18.9,14.1
ANTHUAN,2015-02-20,12.4,25.1,21.5,25.1,23.8,20.9,15.7,12.4,12.6,19.1,23.7,18.9,18.9,14.0
ANTHUAN,2015-02-22,11.2,23.0,13.5,18.8,23.0,20.8,19.5,16.0,11.2,14.8,20.4,22.2,19.6,14.4
ANTHUAN,2015-02-23,12.7,21.9,12.8,14.6,19.9,21.7,19.3,15.2,12.7,13.4,17.8,21.9,19.4,17.6
ANTHUAN,2015-02-24,11.9,21.0,14.4,12.5,14.8,19.5,19.5,15.6,13.6,11.9,17.5,21.0,20.0,18.5
ANTHUAN,2015-02-28,7.1,19.0,13.0,9.6,7.1,7.2,10.2,14.1,17.0,17.2,16.3,14.8,15.7,19.0
ANTHUAN,2015-03-04,8.6,19.7,18.9,19.6,15.6,12.4,10.7,8.6,13.3,19.4,19.7,15.7,13.0,14.8
ANTHUAN,2015-03-05,8.7,19.6,18.9,19.5,15.9,14.9,11.8,8.7,12.6,16.5,19.6,13.4,11.9,11.3
ANTHUAN,2015-03-06,9.4,19.2,15.9,19.1,19.2,18.5,12.5,9.4,12.0,17.5,19.2,15.5,13.4,11.1
ANTHUAN,2015-03-08,12.3,22.6,17.7,20.7,22.6,16.5,15.5,13.8,12.3,16.1,21.0,19.9,16.1,13.8
