code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
BENTRAI,2012-02-01,1.1,8.35,8.35,6.325,5.15,3.325,1.1,1.4,2.675,3.35,5.875,7.425,5.625,1.5
BENTRAI,2012-02-02,1.7,9.125,5.125,9.125,6.15,3.475,1.7,2.575,5.55,6.025,8.55,6.475,4.525,1.925
BENTRAI,2012-02-03,2.275,11.65,5.2,10.5,4.55,4.075,2.275,5.25,7.125,11.0,7.225,11.65,9.35,4.15
BENTRAI,2012-02-09,4.2,18.95,8.35,12.175,18.625,12.45,9.15,4.625,4.2,8.05,16.325,18.95,12.125,7.25
BENTRAI,2012-02-10,3.45,17.125,4.7,11.15,16.825,11.7,5.95,5.275,3.45,5.975,10.975,17.125,11.35,5.55
BENTRAI,2012-02-11,3.225,19.375,4.575,8.225,11.425,12.2,6.425,4.775,3.225,4.075,13.075,19.375,15.425,10.575
BENTRAI,2012-02-15,1.9,8.375,5.875,3.875,1.9,5.475,8.025,8.375,6.625,3.725,2.375,5.55,6.425,5.975
BENTRAI,2012-02-16,2.475,10.425,5.15,3.925,3.025,2.475,7.425,8.45,10.425,8.675,8.0,4.275,5.725,8.4
BENTRAI,2012-02-17,2.075,18.325,5.875,4.425,3.8,2.275,2.075,4.7,11.45,17.475,18.325,16.275,16.025,16.35
BENTRAI,2012-02-20,5.425,19.175,11.525,13.025,9.825,8.875,6.45,5.425,9.275,15.025,19.175,16.35,11.275,11.5
BENTRAI,2012-02-21,5.175,17.45,11.875,10.425,9.825,7.775,6.425,5.175,6.925,13.2,17.45,14.6,10.525,8.925
BENTRAI,2012-02-22,4.525,16.5,10.525,11.45,8.6,7.575,6.15,4.525,6.475,12.3,16.5,16.325,11.975,8.9
BENTRAI,2012-03-02,1.35,3.925,3.925,2.8,1.975,1.4,1.35,2.025,2.075,2.575,2.025,2.625,3.275,3.5
BENTRAI,2012-03-03,2.05,10.65,3.95,4.0,2.95,2.3,2.05,3.975,6.225,10.65,9.275,8.2,7.975,6.55
BENTRAI,2012-03-04,2.65,11.275,6.4,5.975,4.275,2.975,2.65,4.1,11.275,11.15,7.475,7.475,6.45,5.95
BENTRAI,2012-03-09,6.65,18.95,12.95,15.325,17.9,15.25,9.825,8.175,7.1,12.75,18.95,17.125,10.625,6.65
BENTRAI,2012-03-10,6.05,19.875,6.85,13.475,19.275,18.725,11.45,7.225,6.05,11.275,17.05,19.875,11.975,6.825
BENTRAI,2012-03-11,4.825,25.175,4.825,9.675,17.85,22.4575,13.95,8.2,5.675,10.45,20.125,25.175,18.675,10.325
BENTRAI,2012-03-16,2.625,12.55,5.55,4.3,2.625,2.875,5.325,11.75,12.55,11.95,10.725,10.325,10.85,12.5
BENTRAI,2012-03-17,2.8,17.725,7.075,6.9,4.025,2.8,3.175,7.425,14.95,17.725,15.75,14.175,12.575,12.05
