code,date,min,max
THANHTHOIA,2018-05-14,1.3,1.78
THANHTHOIA,2018-05-15,1.1,1.75
THANHTHOIA,2018-05-16,1.0,1.68
THANHTHOIA,2018-05-17,0.8,1.35
THANHTHOIA,2018-05-18,0.65,1.3
THANHTHOIA,2018-05-19,0.61,1.0
THANHTHOIA,2018-05-20,0.5,0.63
THANHTHOIA,2018-05-21,0.3,0.35
THANHTHOIA,2018-05-22,0.25,0.4
THANHTHOIA,2018-05-23,0.2,0.33
THANHTHOIA,2018-05-24,0.15,0.23
THANHTHOIA,2018-05-25,0.2,0.21
THANHTHOIA,2018-05-26,0.15,0.2
THANHTHOIA,2018-05-27,0.15,0.2
THANHTHOIA,2018-05-28,0.1,0.15
THANHTHOIA,2018-05-29,0.1,0.1
THANHTHOIA,2018-05-30,0.1,0.1
THANHTHOIA,2018-05-31,0.1,0.1
